Day of Year (dec)	Total Rate[Hz]	M1 Total Rate[Hz]	M1-Vertical Rate[Hz]	M1-Inclined[Hz]
319.009328700000	135.895	63.425	34.893	28.532	
319.016273150000	136.797	64.165	35.067	29.098	
319.023217590000	136.142	63.442	35.033	28.408	
319.030162040000	136.657	63.627	34.810	28.817	
319.037106480000	136.957	63.557	35.095	28.462	
319.044050930000	136.552	63.567	35.062	28.505	
319.050995370000	136.485	63.967	34.680	29.287	
319.057939810000	136.813	63.235	35.080	28.155	
319.064884260000	136.973	63.853	34.848	29.005	
319.071828700000	134.963	63.960	35.250	28.710	
319.078773150000	135.555	64.413	35.455	28.958	
319.085717590000	135.485	64.443	35.443	29.000	
319.092662040000	137.230	64.250	35.140	29.110	
319.099606480000	136.675	64.077	35.175	28.902	
319.106550930000	136.227	63.982	35.122	28.860	
319.113495370000	137.145	63.593	35.117	28.477	
319.120439810000	137.048	63.785	35.103	28.682	
319.127395830000	89.469	41.985	23.151	18.834	
319.134340280000	136.428	64.952	35.722	29.230	
319.141284720000	136.843	64.158	35.293	28.865	
319.148229170000	136.532	63.507	34.930	28.577	
319.155173610000	136.387	64.437	35.528	28.908	
319.162118060000	136.148	64.298	35.243	29.055	
319.169062500000	136.178	64.047	34.907	29.140	
319.176006940000	136.552	64.113	35.347	28.767	
319.182951390000	136.200	64.042	35.093	28.948	
319.189895830000	136.980	65.193	36.060	29.133	
319.196840280000	136.727	64.525	35.283	29.242	
319.203784720000	135.985	63.973	35.300	28.673	
319.210729170000	136.212	64.257	35.685	28.572	
319.217673610000	136.115	64.828	35.633	29.195	
319.224618060000	137.073	64.908	35.842	29.067	
319.231562500000	135.800	63.922	35.177	28.745	
319.238506940000	136.488	64.738	35.858	28.880	
319.245451390000	136.977	64.443	35.210	29.233	
319.252395830000	90.427	42.708	23.513	19.195	
319.259340280000	135.983	63.933	35.047	28.887	
319.266284720000	135.892	64.305	35.602	28.703	
319.273229170000	136.660	64.725	35.742	28.983	
319.280173610000	137.552	64.322	35.378	28.943	
319.287118060000	136.885	64.205	35.527	28.678	
319.294062500000	136.492	63.952	35.037	28.915	
319.301006940000	136.707	64.008	35.575	28.433	
319.307951390000	136.805	64.860	35.627	29.233	
319.314895830000	137.495	64.340	35.532	28.808	
319.321840280000	136.988	64.615	35.605	29.010	
319.328784720000	137.198	64.102	35.142	28.960	
319.335729170000	137.247	64.383	35.280	29.103	
319.342673610000	137.352	64.865	35.430	29.435	
319.349618060000	137.133	64.587	35.500	29.087	
319.356562500000	137.713	64.792	35.450	29.342	
319.363506940000	137.028	65.585	35.795	29.790	
319.370451390000	136.787	64.348	35.587	28.762	
319.377395830000	90.852	42.383	23.533	18.850	
319.384340280000	136.417	64.787	35.382	29.405	
319.391284720000	137.440	65.293	35.912	29.382	
319.398229170000	136.112	64.218	35.280	28.938	
319.405173610000	137.515	65.103	35.880	29.223	
319.412118060000	137.395	65.515	35.948	29.567	
319.419062500000	147.933	64.192	35.305	28.887	
319.426006940000	136.402	64.633	35.613	29.020	
319.432951390000	138.368	65.370	35.953	29.417	
319.439895830000	137.367	64.400	35.440	28.960	
319.446840280000	136.727	63.740	35.155	28.585	
319.453784720000	137.970	64.747	35.200	29.547	
319.460729170000	137.083	64.598	35.570	29.028	
319.467673610000	136.577	65.097	35.863	29.233	
319.474618060000	137.103	65.408	35.980	29.428	
319.481562500000	136.877	64.790	35.888	28.902	
319.488506940000	137.213	65.180	35.850	29.330	
319.495451390000	136.728	64.582	35.413	29.168	
319.502395830000	90.907	42.828	23.410	19.418	
319.509340280000	137.147	65.318	36.117	29.202	
319.516284720000	136.713	64.128	35.522	28.607	
319.523229170000	159.245	63.480	34.882	28.598	
319.530173610000	141.423	64.405	35.838	28.567	
319.537118060000	136.687	64.455	35.143	29.312	
319.544062500000	136.625	64.760	35.927	28.833	
319.551006940000	137.528	65.245	35.730	29.515	
319.557951390000	135.820	64.678	35.453	29.225	
319.564895830000	136.223	65.573	35.883	29.690	
319.571840280000	136.260	65.255	35.507	29.748	
319.578784720000	136.592	65.177	35.863	29.313	
319.585729170000	137.392	65.668	36.138	29.530	
319.592673610000	136.188	65.598	35.887	29.712	
319.599618060000	135.413	65.275	35.748	29.527	
319.606562500000	135.063	65.662	35.870	29.792	
319.613506940000	135.693	65.528	35.805	29.723	
319.620451390000	136.387	66.392	36.345	30.047	
319.627395830000	90.363	43.652	23.923	19.728	
319.634340280000	137.568	67.040	36.788	30.252	
319.641284720000	136.272	65.992	36.218	29.773	
